Display Name,Mobile,Discounts,Fee,Net,Total
AKT - Beverage Machine,$10.75,$3.00,$0.56,$7.19,$7.75
Adcomm - Pepsi Machine,$7.50,,$0.40,$7.10,
Adcomm - Snack Machine,$18.75,$7.75,$1.02,$9.98,$18.50
Allstate - Beverage Machine,$6.00,,$0.32,$5.68,
Allstate - Snack Machine,$3.50,,$0.19,$3.31,$9.50
Altamonte Lakeside - Beverage Machine,$4.00,,$0.20,$3.80,
Altamonte Lakeside - Snack Machine,$5.50,,$0.29,$5.21,$9.50
Avella - Pepsi Machine,$13.50,,$0.72,$12.78,
Avella - Snack Machine,$13.75,,$0.74,$13.01,$27.25
Bank of NY LM - Beverage Machine 4th FL,$0.75,,$0.04,$0.71,
Bank of NY LM - GlassFront Machine 3rd FL,$1.50,,$0.08,$1.42,$2.25
Bank of NY Rouse - Beverage Machine 2nd FL,$0.75,,$0.03,$0.72,
Bank of NY Rouse - Beverage Machine 3rd FL,$5.25,$1.50,$0.28,$3.47,
Bank of NY Rouse - Snack Machine 2nd FL,$4.30,,$0.24,$4.06,
Bank of NY Rouse - Snack Machine 3rd FL,$9.20,,$0.38,$8.82,$18.00
CDM - Beverage Machine 3rd FL,$3.40,,$0.20,$3.20,
CDM - Snack Machine 3rd FL,$3.00,,$0.15,$2.85,$6.40
Camping World - Beverage Machine,$4.00,,$0.20,$3.80,
Camping World - Snack Machine,$1.00,,$0.05,$0.95,$5.00
Center Pointe 1 -  Snack Machine,$2.75,,$0.14,$2.61,$2.75
Center Pointe 2 - Beverage Machine,$10.50,,$0.53,$9.97,
Center Pointe 2 - Snack Machine,$14.75,$1.00,$0.79,$12.96,$24.25
Central FL Chrysler - GlassFront Machine Showroom,$7.50,,$0.42,$7.08,$7.50
Coca-Cola Apopka - Snack Machine Receiving Office,$3.00,,$0.15,$2.85,$3.00
Cuhaci & Peterson - Snack Machine,$13.10,,$0.71,$12.39,$13.10
DAVE School - Beverage Machine 1st FL,$3.10,,$0.18,$2.92,
DAVE School - Beverage Machine 2nd FL,$4.95,,$0.27,$4.68,
DAVE School - GlassFront Machine 3rd FL,$8.00,,$0.44,$7.56,
DAVE School - Snack Machine 2nd FL,$3.25,,$0.17,$3.08,
DAVE School - Snack Machine 3rd FL,$2.25,,$0.12,$2.13,$21.55
DBKMSN - Combo Machine 2nd FL,$18.15,,$1.00,$17.15,$18.15
EZ Car Rental - Beverage Machine,$1.50,,$0.08,$1.42,
EZ Car Rental - Snack Machine,$9.30,$2.00,$0.49,$6.81,$8.80
Fast Mile - Beverage Machine,$30.75,$4.50,$1.23,$25.02,
Fast Mile - Snack Machine,$23.25,$1.00,$0.93,$21.32,
Fast Mile - Snack Machine,$23.25,$1.00,$0.93,$21.32,$48.50
Fedex Bennet - Beverage Machine,$0.75,,$0.04,$0.71,$0.75
Fedex Sanford - Beverage Machine,$33.00,,$1.80,$31.20,
Fedex Sanford - Snack Machine,$17.95,$2.00,$0.92,$15.03,$48.95
GoCo -  GlassFront Machine,$57.50,,$3.19,$54.31,
GoCo - Snack,$23.50,$1.75,$1.30,$20.45,$79.25
Greenspoon Marder - Beverage Machine,$1.50,,$0.08,$1.42,$1.50
Hagerty HS - Coke Machine #12,$1.75,,$0.20,$1.55,
Hagerty HS - Pepsi Machine #10,$12.50,,$0.71,$11.79,
