Display Name,Mobile,Discounts,Fee,Net,Total
Adcom - Snack,$5.75 ,,$0.31 ,$5.44 ,
Adcomm - Pepsi Machine,$10.50 ,$1.50 ,$0.56 ,$8.44 ,$14.75 
Akt Soda,$6.50 ,$1.00 ,$0.34 ,$5.16 ,$5.50 
Allstate Pepsi,$8.25 ,,$0.44 ,$7.81 ,
Allstate Snack,$8.90 ,,$0.48 ,$8.42 ,$17.15 
Altamonte Lakeside Snack ,$3.00 ,,$0.15 ,$2.85 ,
Altamonte Lakeside Soda,$5.00 ,,$0.25 ,$4.75 ,$8.00 
Avella - Pepsi Machine,$7.50 ,,$0.40 ,$7.10 ,
Avella - Snack Machine,$10.75 ,,$0.71 ,$10.04 ,$18.25 
Aviation Institute - Cold Food Machine,$3.00 ,,$0.16 ,$2.84 ,
Bank Of Ny Lm 3Rd Fl Pepsi Glass,$3.00 ,,$0.16 ,$2.84 ,
Bank Of Ny Rouse - 2Nd Fl Beverage,$0.75 ,,$0.03 ,$0.72 ,
Bank Of Ny Rouse - 3Rd Fl Snack,$19.75 ,$1.25 ,$0.81 ,$17.69 ,
Bank Of Ny Rouse 2Nd Fl Snack,$3.05 ,,$0.17 ,$2.88 ,
Bank Of Ny Rouse 3Rd Fl - Beverage Machine,$6.75 ,,$0.36 ,$6.39 ,$35.05 
Brookdale Orange City Soda Machine,$0.75 ,,$0.04 ,$0.71 ,$0.75 
C&P - Snack Machine,$27.20 ,$2.00 ,$1.47 ,$23.73 ,$25.20 
Cdm - 3Rd Fl Beverage Machine ,$1.70 ,,$0.10 ,$1.60 ,
Cdm - 3Rd Fl Snack,$14.35 ,,$0.75 ,$13.60 ,$16.05 
Center Pointe One Snack ,$1.00 ,,$0.05 ,$0.95 ,
Center Pointe Two - Beverage Machine,$10.00 ,,$0.50 ,$9.50 ,
Center Pointe Two - Snack,$7.75 ,,$0.41 ,$7.34 ,$18.75 
Chrysler - Snack Maintenance,$3.75 ,,$0.19 ,$3.56 ,
Coca-Cola Receiving Office - Snack Machine,$2.90 ,,$0.15 ,$2.75 ,$6.65 
Dave School - Glass Front Beverage,$14.50 ,,$0.80 ,$13.70 ,
Dave School 1St Fl Pepsi,$2.55 ,,$0.15 ,$2.40 ,
Dave School 2Nd Fl Drink,$1.10 ,,$0.06 ,$1.04 ,
Dave School 2Nd Fl Snack,$1.25 ,,$0.07 ,$1.18 ,
Dave School 3Rd Fl Snack,$1.25 ,,$0.07 ,$1.18 ,$20.65 
Dbkmsn 2Nd Fl Combo Machine,$4.75 ,,$0.26 ,$4.49 ,
Dbkmsn 2Nd Fl Pepsi,$3.45 ,,$0.19 ,$3.26 ,$8.20 
Dbksmn 2Nd Fl Snack,$2.00 ,,$0.10 ,$1.90 ,$2.00 
E-Z Car Rental Breakroom - Pepsi Beverage Machine,$3.00 ,,$0.16 ,$2.84 ,$3.00 
E-Z Rent A Car Breakroom - Snack Machine,$6.15 ,,$0.33 ,$5.82 ,$6.15 
Fast Mile - Coke Machine,$43.50 ,$7.50 ,$1.74 ,$34.26 ,
Fast Mile - Snack Machine,$26.00 ,$2.25 ,$1.04 ,$22.71 ,$59.75 
Fed-Ex Bennet Beverage Machine,$0.75 ,,$0.04 ,$0.71 ,
Fed-Ex Snack Sand Lake 2041,$2.25 ,,$0.12 ,$2.13 ,$3.00 
Fedex Sanford - Pepsi Beverage Machine,$27.00 ,,$1.48 ,$25.52 ,
Fedex Sanford - Snack Machine,$17.50 ,,$0.91 ,$16.59 ,$44.50 
Goco - Snack,$36.35 ,,$2.01 ,$34.34 ,
Goco Glassfront,$31.00 ,,$1.68 ,$29.32 ,
Hagerty Hs # 9 Cafeteria Pepsi Machine,$7.00 ,,$0.28 ,$6.72 ,
Hagerty Hs Cafeteria #10 Pepsi,$5.75 ,$3.75 ,$0.32 ,$1.68 ,
Hagerty Hs Teacher Cafe - # 13 Snack Machine,$2.25 ,,$0.09 ,$2.16 ,
Hagerty Hs Teacher Cafe Coke # 7,$2.50 ,,$0.10 ,$2.40 ,
Hagerty Hs Teacher Mail Rm #14 - Snack Machine,$3.75 ,,$0.21 ,$3.54 ,
Hagerty Hs Teacher'S Mail Rm Coke,$5.00 ,,$0.28 ,$4.72 ,$89.85 
Herzing - Snack Upstairs,$16.00 ,$1.00 ,$0.89 ,$14.11 ,
Herzing Glassfront Pepsi,$8.00 ,,$0.43 ,$7.57 ,
Herzing Snack,$1.25 ,,$0.07 ,$1.18 ,
Herzing Soda Machine,$4.50 ,$1.50 ,$0.24 ,$2.76 ,$27.25 
Hobby Lobby - Beverage ,$6.00 ,,$0.31 ,$5.69 ,
Hobby Lobby Snack,$4.75 ,,$0.25 ,$4.50 ,$10.75 
Hyundai - Soda Machine,$18.75 ,,$1.02 ,$17.73 ,
Hyundai Orlando - Snack Machine,$8.75 ,,$0.46 ,$8.29 ,$27.50 
I Heart Media - Snack Machine,$7.25 ,,$0.37 ,$6.88 ,
I Heart Media 3Rd Fl Pepsi Machine,$1.50 ,,$0.08 ,$1.42 ,
I Heart Media 4Th Fl Coke,$38.50 ,,$2.20 ,$36.30 ,$47.25 
Kelly Nissan - Beverage Machine ,$21.75 ,,$1.16 ,$20.59 ,
Kelly Nissan - Snack Machine ,$16.90 ,,$0.89 ,$16.01 ,$38.65 
L-3 Coleman - Small Break Room Soda,$7.50 ,,$0.40 ,$7.10 ,
L-3 Coleman Glassfront,$21.00 ,,$1.18 ,$19.82 ,
L-3 Coleman Snack,$28.60 ,,$1.45 ,$27.15 ,$57.10 
L-3 Obt - Drink Machine,$2.25 ,,$0.09 ,$2.16 ,
L-3 Obt - Snack Machine,$3.80 ,$1.00 ,$0.16 ,$2.64 ,$5.05 
Lake Nona Golf Course - Snack Machine,$8.50 ,,$0.45 ,$8.05 ,
Lake Nona Golf Course Break Room -  Pepsi Beverage,$51.25 ,,$2.95 ,$48.30 ,$59.75 
Loyal Source - Coke Stacker,$2.50 ,,$0.14 ,$2.36 ,
Loyal Source - Snack Machine,$5.50 ,,$0.29 ,$5.21 ,$8.00 
Major Center Plaza 2 - Drink Machine,$7.50 ,,$0.40 ,$7.10 ,
Major Center Plaza 2 - Snack Machine,$11.70 ,,$0.62 ,$11.08 ,$19.20 
Mindful Health - Snack Machine,$18.50 ,$1.00 ,$0.98 ,$16.52 ,$17.50 
Mister Car Wash # 3 -  Snack Vending Machine,$1.00 ,,$0.05 ,$0.95 ,$1.00 
Mitsubishi 4Th Fl Snack,$1.25 ,,$0.07 ,$1.18 ,
Mitsubishi 5Th Fl Coke,$7.50 ,,$0.40 ,$7.10 ,
Mitsubishi 5Th Fl Snack,$8.50 ,$2.00 ,$0.46 ,$6.04 ,$15.25 
Mondelez - Snack,$7.00 ,,$0.38 ,$6.62 ,
Mondelez - Snack,$16.50 ,,$0.88 ,$15.62 ,$23.50 
Mwi Snack Machine,$30.30 ,,$1.61 ,$28.69 ,$30.30 
Old Dominion - Beverage Main Breakroom,$24.00 ,,$1.35 ,$22.65 ,
Old Dominion - Pepsi Truckers Lounge,$22.25 ,,$1.25 ,$21.00 ,
Old Dominion - Snack Main Breakroom,$5.20 ,,$0.28 ,$4.92 ,
Old Dominion - Trucker Snack,$18.45 ,$1.10 ,$1.00 ,$16.35 ,$68.80 
Old Republic National Title -  Snack Machine,$1.75 ,,$0.09 ,$1.66 ,
Old Republic Title - Beverage Machine,$1.50 ,,$0.08 ,$1.42 ,$3.25 
Onsight Signs - Pepsi Beverage Machine,$3.00 ,,$0.16 ,$2.84 ,$3.00 
Oracle - Snack,$74.50 ,$7.75 ,$2.98 ,$63.77 ,$66.75 
Penser Breakroom - Pepsi Beverage Machine,$4.25 ,,$0.23 ,$4.02 ,$4.25 
Pershing - Soda Machine ,$1.50 ,,$0.08 ,$1.42 ,
